,Группа,title,Старая цена,Новая цена,Скидка,Металл,Вес,Ссылка,Брэнд
45,rings,Кольцо с бриллиантами,384900,192450,50,Золото 585,3.07 г.,https://miuz.ru/catalog/rings/R01-RMS-35684/,miuz
46,rings,Кольцо,88544,57554,35,Золото 585,5.19 г.,https://miuz.ru/catalog/rings/R01-WED-00100-MIX/,miuz
47,rings,Кольцо,22818,14832,35,Золото 585,1.49 г.,https://miuz.ru/catalog/rings/R01-3-Y-1012/,miuz
48,rings,Кольцо с бриллиантами,159900,79950,50,Золото 585,1.44 г.,https://miuz.ru/catalog/rings/R01-35445/,miuz
49,rings,Кольцо с бриллиантом,71900,35950,50,Золото 585,2.84 г.,https://miuz.ru/catalog/rings/R01-PL-34397/,miuz
50,rings,Кольцо,52511,34132,35,Золото 585,3.48 г.,https://miuz.ru/catalog/rings/R01-WED-00075/,miuz
51,rings,Кольцо,37237,24204,35,Золото 585,2.08 г.,https://miuz.ru/catalog/rings/R01-4-R-11469/,miuz
52,rings,Кольцо с выращенным бриллиантом,999000,399600,60,Золото 585,3.22 г.,https://miuz.ru/catalog/rings/R01-MLN0491-200/,miuz
53,rings,Кольцо с выращенным бриллиантом,339900,135960,60,Золото 585,2.41 г.,https://miuz.ru/catalog/rings/R127-MLN-0057/,miuz
54,rings,Кольцо с бриллиантами и цветными сапфирами,49900,24950,50,Золото 585,1.47 г.,https://miuz.ru/catalog/rings/R01-L-35041-SC/,miuz
55,rings,Кольцо с фианитами,22329,15630,30,Золото 585,1.55 г.,https://miuz.ru/catalog/rings/R2031-016918-12/,miuz
56,rings,Кольцо с фианитами,15553,10887,30,Золото 585,1.01 г.,https://miuz.ru/catalog/rings/R2031-017149-12/,miuz
57,rings,Кольцо с перламутром и фианитами,3790,3411,10,Серебро 925,2.01 г.,https://miuz.ru/catalog/rings/R2036-KL-5737/,miuz
58,rings,Кольцо с бриллиантом,46900,25795,45,Золото 585,1.46 г.,https://miuz.ru/catalog/rings/R01-SOL65-005-G2/,miuz
59,rings,Кольцо с бриллиантами и сапфирами,119990,47995,60,Золото 585,3.26 г.,https://miuz.ru/catalog/rings/R2018-RR030134ASA/,miuz
60,rings,Кольцо с выращенным бриллиантом,224900,89960,60,Золото 585,3.13 г.,https://miuz.ru/catalog/rings/R01-MLN119-050/,miuz
61,rings,Кольцо с бриллиантами,214900,107450,50,Золото 585,1.76 г.,https://miuz.ru/catalog/rings/R01-RMS-35681/,miuz
62,rings,Кольцо с бриллиантом,119900,59950,50,Золото 585,3.78 г.,https://miuz.ru/catalog/rings/R01-WED-00069/,miuz
63,rings,Кольцо с фианитами,13397,9377,30,Золото 585,0.9 г.,https://miuz.ru/catalog/rings/R2031-SOF-0033-R/,miuz
64,rings,Кольцо с гранатом и фианитами,26926,18848,30,Золото 585,1.68 г.,https://miuz.ru/catalog/rings/R2031-01968-GR/,miuz
65,rings,Кольцо с выращенным бриллиантом,324900,129960,60,Золото 585,2.67 г.,https://miuz.ru/catalog/rings/R01-MLN35736/,miuz
66,rings,Кольцо с выращенным бриллиантом,344900,137960,60,Золото 585,3.86 г.,https://miuz.ru/catalog/rings/R127-MLN-0064/,miuz
67,rings,Кольцо с фианитами,22958,16070,30,Золото 585,1.53 г.,https://miuz.ru/catalog/rings/R2028-K130-2085/,miuz
68,rings,Кольцо с фианитами,24946,17462,30,Золото 585,1.6 г.,https://miuz.ru/catalog/rings/R2031-019283-12/,miuz
69,rings,Кольцо с топазом,40542,26352,35,Золото 585,2.65 г.,https://miuz.ru/catalog/rings/R01-34225-BTSB/,miuz
70,rings,Кольцо с бриллиантами,114900,45960,60,Золото 585,3.79 г.,https://miuz.ru/catalog/rings/R2026-7055353005/,miuz
71,rings,Кольцо с бриллиантами и морганитом,219900,131940,40,Золото 585,3.07 г.,https://miuz.ru/catalog/rings/R01-35815MN/,miuz
72,rings,Кольцо с бриллиантами и сапфиром,539900,323940,40,Золото 585,5.2 г.,https://miuz.ru/catalog/rings/R01-EX-52690-SA/,miuz
73,rings,Кольцо с бриллиантами и сапфиром,339900,203940,40,Золото 585,5.88 г.,https://miuz.ru/catalog/rings/R01-35786-SA/,miuz
74,rings,Кольцо,37728,24523,35,Золото 585,2.23 г.,https://miuz.ru/catalog/rings/R01-WED-00063/,miuz
75,rings,Кольцо,74223,48245,35,Золото 585,3.89 г.,https://miuz.ru/catalog/rings/R01-WED-00104/,miuz
76,rings,"Кольцо с топазами, бриллиантами и лондон топазами",72900,43740,40,Золото 585,1.65 г.,https://miuz.ru/catalog/rings/R01-FST-0184MIX/,miuz
77,rings,Кольцо с выращенным бриллиантом,294900,117960,60,Золото 585,1.87 г.,https://miuz.ru/catalog/rings/R01-L-MLN35739/,miuz
78,rings,Кольцо с фианитом,1490,1341,10,Серебро 925,1.2 г.,https://miuz.ru/catalog/rings/R2031-93-110-01326-1/,miuz
79,rings,Кольцо с выращенным бриллиантом,304900,121960,60,Золото 585,2.24 г.,https://miuz.ru/catalog/rings/R01-MLN35745/,miuz
80,rings,Кольцо с бриллиантами,61900,30950,50,Золото 585,1.45 г.,https://miuz.ru/catalog/rings/R01-WED-00127/,miuz
